#------------inputs in (#description \n type name \n values) format.  Check the Readme file in repository for details.-------------------------#
#----PLEASE DONT CHANGE FORMATS.DONT DELETE THIS LINE OR THE NEXT. KEEP SPACINGS CONSTANT as the parse function is written accordingly.--------#
#---types can be: int, float, str, complex, int_list, float_list, str_list, int_mat, float_mat, str_mat, xydata (2 var), xysigdata (3 var)-----#

#   a constant in coupled ODE eqn
xydata datX datY
0.5	-3
1.5	-4.5
2.5	-3
4.5	-4.5
5.5	-3.4
6.5	-3
7.5	12.5
8.5	21.5
9.5	29
11	36
11.5	40
12.5	42.5
13	43
13.5	44
14.5	45
15.5	46
16	48.5
16.5	51
17	53
18	52
19	45.5
19.5	34.5
20	28
20.5	16
21.5	0
22.5	-10
23.5	-11
24.5	7
25.5	17
26	29
27	54.5
27.5	60
28.5	82
29	86
29.5	93.5
30.5	109
31	114
31.5	120
32	125
32.5	129
33	134
33.5	139
34.5	140
35	134.5
36	120.5
37.5	88
38.5	68
39	47
39.5	43
40.5	31
41.5	22
42.5	22.5
43.5	28
44.5	34
45.5	51
46.5	80
47	101
47.5	118
48	127.5
49	160.5
49.5	181
50	185
50.5	218
51	227
52	247
53	261.5
53.5	260
54	252
54.5	254.2
55	250
56	245
57	241
58	222
59	213
60	196
61	185
62	188
64.5	202
65.5	227
66.5	254
68	322
# EndOfInput
EOF
